location,property_type,area,rooms,bathrooms,floor_number,total_floors,age_of_property,furnishing_status,parking_spaces,near_metro,gated,near_school,near_it_park,pool,gym,security,garden,clubhouse,play_area,backup,rainwater,ev_charging,cctv,intercom,rooftop,price
Brookefield,Independent House,2152,3,2,1,9,0,Semi-Furnished,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,28021237
Jayanagar,Penthouse,1983,3,4,14,18,15,Fully-Furnished,2,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,43255893
Bannerghatta Road,Apartment,823,1,1,0,13,0,Semi-Furnished,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,9079033
KR Puram,Penthouse,1336,2,2,2,4,15,Unfurnished,2,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,17054408
Chandapura,Independent House,3649,4,3,7,8,10,Fully-Furnished,2,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,22056059
Padmanabhanagar,Apartment,978,2,2,8,19,2,Fully-Furnished,2,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,11052497
Bellandur,Penthouse,806,1,1,3,20,10,Unfurnished,2,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,15143727
Devanahalli,Villa,737,1,1,13,17,5,Fully-Furnished,2,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,9660824
RT Nagar,Independent House,3227,4,4,0,15,2,Unfurnished,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,34224329
KR Puram,Apartment,651,1,1,3,12,5,Semi-Furnished,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,6775551
Hennur Road,Villa,598,1,1,9,10,5,Semi-Furnished,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,10161669
Bellandur,Villa,2444,4,4,8,10,15,Fully-Furnished,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,46888701
Begur,Independent House,834,1,1,7,19,5,Unfurnished,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,7534799
Hebbal,Apartment,3782,4,4,8,19,0,Fully-Furnished,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,47624505
Electronic City Phase 1,Villa,1882,3,3,0,7,15,Semi-Furnished,2,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,20796718
Rajajinagar,Penthouse,1241,2,2,9,20,15,Fully-Furnished,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,24517910
Domlur,Apartment,1100,2,3,8,20,10,Unfurnished,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,17077169
Kadugodi,Independent House,1467,3,4,13,18,0,Semi-Furnished,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,15533376
Basavanagudi,Villa,775,1,1,4,14,0,Fully-Furnished,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,18325013
Hoodi,Independent House,781,1,1,2,2,0,Unfurnished,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,9831529
Hennur Road,Independent House,655,1,1,6,17,10,Unfurnished,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,7417468
Yeshwanthpur,Apartment,4188,4,3,3,17,5,Semi-Furnished,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,43003933
Varthur,Villa,1128,2,2,10,12,15,Semi-Furnished,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,16693851
Hoodi,Apartment,1527,3,4,14,16,2,Semi-Furnished,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,18117123
Kadugodi,Villa,1800,3,2,10,20,10,Semi-Furnished,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,24232663
Electronic City Phase 1,Villa,3934,4,3,2,18,15,Fully-Furnished,2,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,42614723
JP Nagar,Penthouse,3985,4,5,0,8,10,Fully-Furnished,2,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,61064142
Magadi Road,Independent House,1329,2,2,13,17,0,Semi-Furnished,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,11403645
KR Puram,Penthouse,1156,2,1,2,10,10,Fully-Furnished,2,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,15807048
RT Nagar,Independent House,1759,3,2,13,19,5,Semi-Furnished,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,19019913
Marathahalli,Villa,1075,2,3,3,18,15,Fully-Furnished,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,16253829
BTM Layout,Apartment,697,1,1,1,7,15,Unfurnished,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,7828959
Bellandur,Villa,627,1,1,2,11,10,Unfurnished,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,12040135
BTM Layout,Apartment,781,1,1,1,20,10,Semi-Furnished,2,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,10096109
Sadashivanagar,Apartment,3866,4,4,2,5,0,Semi-Furnished,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,86413562
Begur,Penthouse,999,2,3,12,18,2,Unfurnished,2,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,12230624
Koramangala,Apartment,3340,4,4,10,19,10,Fully-Furnished,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,57818025
Kadugodi,Apartment,1353,2,1,8,8,10,Semi-Furnished,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,13291210
Brookefield,Villa,4383,4,3,7,15,15,Semi-Furnished,2,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,78546780
Yelahanka,Apartment,2080,3,3,8,18,10,Unfurnished,2,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,20995361
Magadi Road,Apartment,2052,3,2,9,16,2,Fully-Furnished,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,16854028
Kengeri,Independent House,1174,2,2,5,10,15,Unfurnished,2,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,10050592
Koramangala,Penthouse,2038,3,3,7,14,5,Fully-Furnished,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,48803878
Yeshwanthpur,Penthouse,1610,3,2,2,11,15,Semi-Furnished,2,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,22751539
Thanisandra,Villa,621,1,1,12,19,15,Fully-Furnished,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,9535393
Rajajinagar,Villa,924,2,2,5,20,10,Semi-Furnished,2,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,19823665
Bommasandra,Penthouse,3416,4,5,15,15,5,Semi-Furnished,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,30689814
Marathahalli,Penthouse,2177,3,4,2,5,15,Fully-Furnished,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,29849495
Kanakapura Road,Independent House,611,1,1,5,17,2,Semi-Furnished,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,7452021
Hebbal,Apartment,1299,2,3,8,12,0,Semi-Furnished,2,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,17925373
Uttarahalli,Apartment,3378,4,3,11,16,5,Fully-Furnished,2,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,31031821
Outer Ring Road,Villa,738,1,1,11,14,5,Fully-Furnished,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,14977268
HSR Layout,Villa,1800,3,3,10,16,5,Unfurnished,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,36569767
Koramangala,Villa,3974,4,5,9,16,5,Fully-Furnished,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,99527452
Panathur,Penthouse,4303,4,5,3,11,10,Fully-Furnished,2,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,59589714
Padmanabhanagar,Penthouse,847,1,1,0,2,10,Semi-Furnished,2,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,11639957
Sadashivanagar,Apartment,1905,3,4,7,17,15,Fully-Furnished,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,43369958
BTM Layout,Independent House,2076,3,2,6,9,5,Unfurnished,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,24304633
Electronic City Phase 2,Penthouse,2345,4,3,8,16,0,Unfurnished,2,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,23678055
Electronic City Phase 2,Apartment,1314,2,3,12,18,15,Unfurnished,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,9061934
Electronic City Phase 1,Villa,3040,4,4,8,14,5,Fully-Furnished,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,33202976
Marathahalli,Apartment,1341,2,2,13,17,0,Fully-Furnished,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,14720149
HSR Layout,Penthouse,900,2,3,6,20,10,Unfurnished,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,17123854
RT Nagar,Penthouse,2903,4,5,2,15,2,Unfurnished,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,41996620
Thanisandra,Penthouse,2151,3,2,2,14,0,Semi-Furnished,2,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,31525876
Hebbal,Apartment,1041,2,2,4,16,10,Unfurnished,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,13066571
Rayan Circle,Apartment,3249,4,4,8,16,0,Unfurnished,2,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,37827022
Yelahanka,Independent House,1540,3,2,0,5,0,Semi-Furnished,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,16106613
Koramangala,Independent House,793,1,1,11,17,15,Semi-Furnished,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,13828875
Panathur,Apartment,3888,4,4,14,17,10,Unfurnished,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,39275961
Electronic City Phase 1,Penthouse,1996,3,3,3,3,5,Fully-Furnished,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,21360060
Yeshwanthpur,Villa,4236,4,4,3,6,0,Unfurnished,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,62399326
Brookefield,Villa,632,1,1,6,15,0,Fully-Furnished,2,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,13444268
Banaswadi,Villa,3841,4,3,6,15,15,Semi-Furnished,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,50591441
Bommasandra,Apartment,3088,4,5,5,14,2,Unfurnished,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,20676449
Hoodi,Independent House,1206,2,2,14,18,10,Semi-Furnished,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,13730706
Basavanagudi,Apartment,1456,3,2,11,16,5,Unfurnished,2,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,23043696
Magadi Road,Independent House,1218,2,1,7,8,10,Unfurnished,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,9379258
Hosur Road,Apartment,2334,4,5,12,16,5,Unfurnished,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,20741716
Sadashivanagar,Independent House,639,1,1,2,17,5,Semi-Furnished,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,15152714
Devanahalli,Penthouse,1506,3,3,5,6,2,Fully-Furnished,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,17044363
Brookefield,Penthouse,1279,2,1,4,16,10,Unfurnished,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,21654738
Rajajinagar,Apartment,576,1,1,4,15,2,Unfurnished,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,8807663
Kadugodi,Independent House,556,1,1,14,16,10,Semi-Furnished,2,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,6326080
Banaswadi,Independent House,3083,4,5,14,17,2,Semi-Furnished,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,29919151
Anjanapura,Apartment,1141,2,2,0,20,5,Unfurnished,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,9084607
Yelahanka,Independent House,1111,2,2,8,17,2,Unfurnished,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,11212416
Frazer Town,Villa,4436,4,4,13,13,0,Fully-Furnished,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,98476211
Hoodi,Independent House,654,1,1,5,10,10,Unfurnished,2,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,7991324
KR Puram,Villa,1237,2,2,15,16,5,Semi-Furnished,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,17707794
Tumkur Road,Penthouse,802,1,1,8,13,2,Fully-Furnished,2,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,9488900
Outer Ring Road,Independent House,591,1,1,5,12,10,Semi-Furnished,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,7964389
Jayanagar,Independent House,945,2,1,10,11,0,Semi-Furnished,2,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,16683786
Anjanapura,Independent House,1486,3,3,2,6,5,Unfurnished,2,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,12044664
Sahakara Nagar,Apartment,2838,4,4,7,9,15,Fully-Furnished,2,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,31329229
Thanisandra,Apartment,2025,3,2,9,11,0,Semi-Furnished,2,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,22419175
Electronic City Phase 1,Penthouse,762,1,1,1,7,15,Unfurnished,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,7650412
Begur,Apartment,4260,4,4,12,20,15,Unfurnished,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,34695187
Kadugodi,Apartment,2503,4,5,7,18,0,Fully-Furnished,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,25320250
Yelahanka,Penthouse,2644,4,4,2,19,5,Semi-Furnished,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,35147823
Magadi Road,Apartment,1294,2,2,11,17,5,Unfurnished,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,10542650
RT Nagar,Independent House,570,1,1,3,7,5,Fully-Furnished,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,6984833
KR Puram,Penthouse,627,1,1,12,15,0,Unfurnished,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,8930208
Hosur Road,Penthouse,1958,3,3,13,19,2,Fully-Furnished,2,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,24088304
Rajajinagar,Independent House,1638,3,2,11,17,10,Semi-Furnished,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,23411037
Uttarahalli,Independent House,2437,4,5,9,13,10,Fully-Furnished,2,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,22830564
Kengeri,Independent House,1690,3,4,12,15,0,Unfurnished,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,14903029
Hosur Road,Penthouse,547,1,1,12,13,0,Semi-Furnished,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,7490254
Domlur,Independent House,659,1,1,3,6,15,Fully-Furnished,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,10115667
Rayan Circle,Villa,757,1,1,12,19,0,Semi-Furnished,2,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,14050910
RT Nagar,Villa,609,1,1,14,19,5,Unfurnished,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,9419368
CV Raman Nagar,Penthouse,619,1,1,7,9,10,Semi-Furnished,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,8681123
Sarjapur Road,Penthouse,725,1,1,12,16,0,Unfurnished,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,11258147
Indiranagar,Apartment,3569,4,4,7,17,10,Semi-Furnished,2,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,63628035
Kadugodi,Villa,643,1,1,11,16,15,Semi-Furnished,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,8555046
Electronic City Phase 1,Apartment,2186,3,4,5,17,10,Semi-Furnished,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,16920002
Yelahanka,Villa,1239,2,3,4,19,10,Fully-Furnished,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,18552672
Sarjapur Road,Villa,3688,4,5,4,7,0,Semi-Furnished,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,55398570
Sarjapur Road,Independent House,1854,3,4,4,19,0,Fully-Furnished,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,20658601
Electronic City,Villa,3356,4,3,13,14,15,Semi-Furnished,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,35414933
Marathahalli,Apartment,752,1,1,8,18,5,Fully-Furnished,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,8365516
Magadi Road,Penthouse,2092,3,2,15,18,0,Fully-Furnished,2,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,23052690
Indiranagar,Independent House,1400,2,1,2,20,2,Fully-Furnished,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,25927385
Hennur Road,Villa,1889,3,3,8,20,2,Fully-Furnished,2,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,30895107
Mahadevapura,Villa,812,1,1,12,14,10,Fully-Furnished,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,14356908
Koramangala,Independent House,1307,2,1,10,18,5,Unfurnished,2,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,23796388
Banaswadi,Villa,700,1,1,2,4,10,Fully-Furnished,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,9829048
Koramangala,Apartment,760,1,1,11,17,2,Unfurnished,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,14025148
Electronic City Phase 1,Villa,1515,3,2,5,5,10,Unfurnished,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,16499125
Magadi Road,Villa,1483,3,3,2,2,0,Semi-Furnished,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,17038747
Mahadevapura,Apartment,1249,2,3,7,7,2,Fully-Furnished,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,15872289
Anjanapura,Penthouse,3341,4,5,9,9,2,Unfurnished,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,33452024
Koramangala,Apartment,2044,3,4,3,18,10,Semi-Furnished,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,35540960
CV Raman Nagar,Independent House,2015,3,3,5,12,2,Unfurnished,2,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,21401378
Hebbal,Apartment,663,1,1,2,5,5,Unfurnished,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,8945784
Chandapura,Apartment,3201,4,3,13,14,5,Unfurnished,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,18886016
Uttarahalli,Independent House,726,1,1,9,14,10,Semi-Furnished,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,6464660
Yeshwanthpur,Penthouse,721,1,1,0,16,2,Semi-Furnished,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,10574330
Bommasandra,Independent House,1080,2,3,15,20,15,Fully-Furnished,2,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,8228686
Uttarahalli,Villa,1562,3,3,14,19,5,Semi-Furnished,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,21086281
Panathur,Independent House,2091,3,4,6,20,15,Fully-Furnished,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,22520942
Malleswaram,Penthouse,1138,2,1,14,19,0,Fully-Furnished,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,26817837
Bellandur,Penthouse,1679,3,2,10,20,0,Fully-Furnished,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,30975212
Rajajinagar,Independent House,1305,2,2,15,18,0,Semi-Furnished,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,19813610
Bellandur,Penthouse,1563,3,3,11,20,5,Semi-Furnished,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,28689300
Nagarbhavi,Independent House,785,1,1,11,17,5,Semi-Furnished,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,8583998
Sahakara Nagar,Penthouse,1646,3,2,7,17,2,Semi-Furnished,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,24622870
Banaswadi,Villa,1488,3,4,0,12,0,Semi-Furnished,2,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,21697518
RT Nagar,Independent House,599,1,1,12,14,0,Fully-Furnished,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,7586884
Jayanagar,Independent House,1043,2,3,7,17,10,Semi-Furnished,2,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,17347997
Whitefield,Penthouse,687,1,1,9,13,10,Fully-Furnished,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,12077388
Marathahalli,Penthouse,3368,4,5,8,15,10,Fully-Furnished,2,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,46714937
Devanahalli,Apartment,1287,2,3,4,16,0,Fully-Furnished,2,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,12038020
Frazer Town,Penthouse,2891,4,4,15,19,5,Fully-Furnished,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,60174340
Koramangala,Penthouse,850,1,1,3,18,0,Fully-Furnished,2,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,21565138
Kanakapura Road,Villa,3988,4,5,12,19,2,Fully-Furnished,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,57433112
Jayanagar,Independent House,2091,3,4,9,18,10,Unfurnished,2,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,34107754
KR Puram,Villa,1242,2,2,4,16,15,Fully-Furnished,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,17448711
Electronic City Phase 2,Independent House,3843,4,4,12,19,10,Fully-Furnished,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,27543254
Electronic City,Villa,4119,4,3,9,20,0,Fully-Furnished,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,44934823
Kengeri,Apartment,1884,3,4,2,19,5,Semi-Furnished,2,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,16222688
Vijayanagar,Penthouse,1458,3,2,11,20,10,Fully-Furnished,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,19898351
HSR Layout,Independent House,4243,4,3,15,20,15,Semi-Furnished,2,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,58509820
Anjanapura,Penthouse,3356,4,4,10,14,5,Semi-Furnished,2,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,33797058
Frazer Town,Independent House,1606,3,3,7,15,15,Unfurnished,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,24422559
Chandapura,Penthouse,515,1,1,13,18,15,Semi-Furnished,2,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,4229215
BTM Layout,Penthouse,1341,2,2,9,16,5,Semi-Furnished,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,21292332
JP Nagar,Villa,3514,4,4,7,12,10,Semi-Furnished,2,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,57644767
JP Nagar,Independent House,1531,3,3,1,11,2,Unfurnished,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,17986810
Yelahanka,Independent House,4195,4,5,10,12,10,Unfurnished,2,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,41186939
Begur,Villa,2115,3,3,7,12,10,Unfurnished,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,25359837
Begur,Independent House,983,2,3,11,18,0,Semi-Furnished,2,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,10188915
Kanakapura Road,Apartment,1688,3,4,13,17,10,Fully-Furnished,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,17995203
Padmanabhanagar,Villa,2125,3,4,14,19,10,Unfurnished,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,28480889
Rajajinagar,Apartment,1155,2,1,0,3,2,Fully-Furnished,2,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,17829617
Varthur,Independent House,1910,3,3,14,14,2,Fully-Furnished,2,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,21535856
Koramangala,Villa,2177,3,4,7,18,10,Unfurnished,2,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,55223659
Electronic City Phase 2,Independent House,822,1,1,12,17,0,Unfurnished,2,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,7262465
Bellandur,Apartment,988,2,2,1,7,5,Fully-Furnished,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,13833633
Yeshwanthpur,Independent House,1477,3,3,10,19,15,Unfurnished,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,15478104
Magadi Road,Independent House,2065,3,4,11,18,0,Unfurnished,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,16675663
Domlur,Independent House,656,1,1,7,7,0,Semi-Furnished,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,10767764
Mahadevapura,Penthouse,1104,2,1,14,15,2,Semi-Furnished,2,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,18032878
Magadi Road,Independent House,1120,2,1,7,11,5,Fully-Furnished,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,9727448
Electronic City,Penthouse,1391,2,1,12,12,2,Fully-Furnished,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,15141846
Padmanabhanagar,Villa,2860,4,5,12,18,15,Unfurnished,2,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,38323887
HSR Layout,Independent House,1750,3,2,0,12,5,Fully-Furnished,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,25270866
Basavanagudi,Independent House,584,1,1,13,13,2,Semi-Furnished,2,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,10183349
Hebbal,Villa,3388,4,4,8,16,10,Fully-Furnished,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,60570724
Malleswaram,Apartment,1725,3,3,9,9,15,Unfurnished,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,28775247
Koramangala,Independent House,2390,4,3,2,18,15,Unfurnished,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,41559941
Chandapura,Apartment,1333,2,2,8,18,5,Semi-Furnished,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,8534280
RT Nagar,Villa,1018,2,3,3,17,2,Semi-Furnished,2,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,17079642
Bommasandra,Villa,787,1,1,7,11,15,Fully-Furnished,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,7974596
